"objectid","id1","fk_zaehler","abkuerzung","bezeichnung","von","bis","richtung_in","richtung_out","korrekturfaktor","status","has_geschwindigkeit","velo","fuss","geometry"
"1","7","ECO09113500","VZS_BINZ","Binzmühlestrasse","20101130000000","20180404000000","Oerlikon","Glaubtenstrasse","1.22","früher","0","1","0","POINT (2681857 1251990.9)"
"2","16","ECO09113505","VZS_BUCH","Bucheggplatz","20140626000000","20190313000000","Hofwiesenstrasse","Höngg","1.27","früher","0","1","0","POINT (2682647 1250363.9)"
"3","53","Y0412032046","VZS_KLOW","Kloster-Fahr-Weg","20100625000000","20200203000000","Stadtgrenze","Innenstadt","0.94","früher","0","1","1","POINT (2679028 1250673.9)"
"4","13","ECO09113507","VZS_HOFW","Hofwiesenstrasse","20100923000000","20190313000000","Bucheggplatz","---","1.28","früher","0","1","0","POINT (2682683.2 1250569.6)"
"5","61","Y2G14045587","VZS_LIMB","Limmatquai --> Bellevue","20140625000000","20190603000000","Bellevue","---","1.47","früher","0","1","0","POINT (2683447 1247062.9)"
"6","5","ECO09022739","VZS_LUXG","Lux-Guyer-Weg","20091202000000","20181220000000","Innenstadt","Wipkingen","1","früher","0","1","0","POINT (2682933 1248820.9)"
"7","60","Y2G13124879","VZS_MILI","Militärbrücke","20140312000000","20230322000000","Bahnhofstrasse","Langstrasse","0.95","früher","0","1","0","POINT (2682731 1247707.9)"
"8","6","ECO09113499","VZS_MYTH","Mythenquai","20100714000000","20181221000000","Innenstadt","Wollishofen","1.2","früher","0","1","0","POINT (2682873 1245890.9)"
"9","54","Y2G12102806","VZS_MUEH","Mühlebachstrasse","20100923000000","20180927000000","Bellevue","Riesbach","1.19","früher","0","1","0","POINT (2684006 1246565.9)"
"10","57","Y2G13124876","VZS_ZOLL","Zollstrasse","20140311000000","20190723000000","Sihlquai","Langstrasse","1.49","früher","0","1","0","POINT (2682946 1248224.9)"
"11","58","Y2G13124877","VZS_TOED","Tödistrasse","20140311000000","20160726000000","Seeufer","Hauptbahnhof","1.41","früher","0","1","0","POINT (2682881 1246548.9)"
