time,temperature_2m,humidity,wind_speed_10m,precipitation
2023-01-01 00:00:00,7.0,80,6.2,0.0
2023-01-01 01:00:00,7.9,80,10.3,0.0
2023-01-01 02:00:00,8.7,75,6.1,0.0
2023-01-01 03:00:00,7.6,80,8.1,0.0
2023-01-01 04:00:00,8.5,75,8.0,0.0
2023-01-01 05:00:00,8.2,76,7.6,0.0
2023-01-01 06:00:00,7.1,80,7.5,0.0
2023-01-01 07:00:00,6.4,81,8.3,0.0
2023-01-01 08:00:00,5.4,83,9.8,0.0
2023-01-01 09:00:00,6.2,84,8.9,0.0
2023-01-01 10:00:00,9.7,76,2.9,0.0
2023-01-01 11:00:00,11.6,71,2.5,0.0
2023-01-01 12:00:00,12.7,66,1.5,0.0
2023-01-01 13:00:00,12.8,67,8.3,0.0
2023-01-01 14:00:00,14.0,69,4.5,0.0
2023-01-01 15:00:00,14.3,79,1.8,0.0
2023-01-01 16:00:00,14.5,69,1.9,0.0
2023-01-01 17:00:00,13.1,73,5.8,0.0
2023-01-01 18:00:00,8.1,85,8.1,0.0
2023-01-01 19:00:00,6.7,85,8.6,0.0
2023-01-01 20:00:00,6.0,83,9.0,0.0
2023-01-01 21:00:00,7.8,76,7.3,0.0
2023-01-01 22:00:00,9.6,68,5.9,0.0
2023-01-01 23:00:00,8.6,72,1.0,0.0
2023-01-02 00:00:00,7.2,77,1.3,0.0
2023-01-02 01:00:00,8.0,77,4.9,0.0
2023-01-02 02:00:00,6.3,84,6.3,0.0
2023-01-02 03:00:00,8.4,74,6.5,0.0
2023-01-02 04:00:00,5.0,85,7.1,0.0
2023-01-02 05:00:00,6.1,82,9.8,0.0
2023-01-02 06:00:00,10.5,61,7.8,0.0
2023-01-02 07:00:00,10.0,62,3.0,0.0
2023-01-02 08:00:00,4.4,83,5.4,0.0
2023-01-02 09:00:00,4.9,87,4.7,0.0
2023-01-02 10:00:00,7.3,83,4.9,0.0
2023-01-02 11:00:00,9.4,80,4.9,0.0
2023-01-02 12:00:00,11.0,76,8.4,0.0
